Modelo;Conjunto;Métrica;cantopop;dance;dancehall;edm;electro;forro;gospel;happy;hard-rock;hardstyle;Média;Média Ponderada
RandomForest;Teste;Precisão;0,830;0,645;0,802;0,368;0,412;0,839;0,835;0,790;0,776;0,760;0,706;0,706
RandomForest;Teste;Recall;0,805;0,555;0,830;0,375;0,445;0,910;0,810;0,770;0,795;0,745;0,704;0,704
RandomForest;Teste;F1-Score;0,817;0,597;0,816;0,371;0,428;0,873;0,822;0,780;0,785;0,753;0,704;0,704
RandomForest;Teste;Suporte;200;200;200;200;200;200;200;200;200;200;2000;2000
RandomForest;Teste;Acurácia;-;-;-;-;-;-;-;-;-;-;0,704;-
LogisticRegression;Teste;Precisão;0,621;0,389;0,580;0,356;0,237;0,631;0,546;0,551;0,487;0,476;0,488;0,488
LogisticRegression;Teste;Recall;0,640;0,455;0,635;0,285;0,095;0,760;0,565;0,565;0,580;0,500;0,508;0,508
LogisticRegression;Teste;F1-Score;0,631;0,419;0,606;0,317;0,136;0,689;0,555;0,558;0,530;0,488;0,493;0,493
LogisticRegression;Teste;Suporte;200;200;200;200;200;200;200;200;200;200;2000;2000
LogisticRegression;Teste;Acurácia;-;-;-;-;-;-;-;-;-;-;0,508;-
XGBClassifier;Teste;Precisão;0,845;0,634;0,815;0,374;0,435;0,840;0,806;0,800;0,818;0,760;0,713;0,713
XGBClassifier;Teste;Recall;0,790;0,580;0,835;0,430;0,420;0,895;0,810;0,760;0,810;0,760;0,709;0,709
XGBClassifier;Teste;F1-Score;0,817;0,606;0,825;0,400;0,427;0,867;0,808;0,779;0,814;0,760;0,710;0,710
XGBClassifier;Teste;Suporte;200;200;200;200;200;200;200;200;200;200;2000;2000
XGBClassifier;Teste;Acurácia;-;-;-;-;-;-;-;-;-;-;0,709;-
LGBMClassifier;Teste;Precisão;0,869;0,615;0,824;0,368;0,432;0,832;0,809;0,804;0,814;0,780;0,715;0,715
LGBMClassifier;Teste;Recall;0,795;0,590;0,820;0,390;0,445;0,915;0,825;0,780;0,810;0,745;0,711;0,712
LGBMClassifier;Teste;F1-Score;0,830;0,602;0,822;0,379;0,438;0,871;0,817;0,792;0,812;0,762;0,713;0,713
LGBMClassifier;Teste;Suporte;200;200;200;200;200;200;200;200;200;200;2000;2000
LGBMClassifier;Teste;Acurácia;-;-;-;-;-;-;-;-;-;-;0,712;-
GradientBoosting;Teste;Precisão;0,814;0,529;0,734;0,410;0,474;0,826;0,811;0,805;0,739;0,793;0,694;0,694
GradientBoosting;Teste;Recall;0,790;0,600;0,785;0,435;0,365;0,880;0,795;0,785;0,780;0,730;0,695;0,695
GradientBoosting;Teste;F1-Score;0,802;0,562;0,758;0,422;0,412;0,852;0,803;0,795;0,759;0,760;0,693;0,693
GradientBoosting;Teste;Suporte;200;200;200;200;200;200;200;200;200;200;2000;2000
GradientBoosting;Teste;Acurácia;-;-;-;-;-;-;-;-;-;-;0,695;-
AdaBoost;Teste;Precisão;0,703;0,335;0,599;0,246;0,308;0,767;0,649;0,553;0,431;0,585;0,518;0,518
AdaBoost;Teste;Recall;0,545;0,300;0,560;0,565;0,160;0,690;0,600;0,700;0,465;0,240;0,483;0,482
AdaBoost;Teste;F1-Score;0,614;0,317;0,579;0,343;0,211;0,726;0,623;0,618;0,447;0,340;0,482;0,482
AdaBoost;Teste;Suporte;200;200;200;200;200;200;200;200;200;200;2000;2000
AdaBoost;Teste;Acurácia;-;-;-;-;-;-;-;-;-;-;0,482;-
DecisionTree;Teste;Precisão;0,662;0,502;0,667;0,249;0,379;0,781;0,732;0,630;0,684;0,626;0,591;0,591
DecisionTree;Teste;Recall;0,695;0,545;0,590;0,265;0,390;0,785;0,710;0,655;0,640;0,585;0,586;0,586
DecisionTree;Teste;F1-Score;0,678;0,523;0,626;0,257;0,384;0,783;0,721;0,642;0,661;0,605;0,588;0,588
DecisionTree;Teste;Suporte;200;200;200;200;200;200;200;200;200;200;2000;2000
DecisionTree;Teste;Acurácia;-;-;-;-;-;-;-;-;-;-;0,586;-
KNeighbors;Teste;Precisão;0,657;0,512;0,717;0,332;0,458;0,740;0,739;0,722;0,718;0,628;0,622;0,622
KNeighbors;Teste;Recall;0,755;0,540;0,710;0,390;0,350;0,855;0,735;0,610;0,560;0,685;0,619;0,619
KNeighbors;Teste;F1-Score;0,702;0,526;0,714;0,359;0,397;0,794;0,737;0,661;0,629;0,656;0,617;0,617
KNeighbors;Teste;Suporte;200;200;200;200;200;200;200;200;200;200;2000;2000
KNeighbors;Teste;Acurácia;-;-;-;-;-;-;-;-;-;-;0,619;-
SVC;Teste;Precisão;0,773;0,475;0,663;0,426;0,527;0,757;0,776;0,682;0,654;0,574;0,631;0,631
SVC;Teste;Recall;0,785;0,670;0,650;0,445;0,295;0,870;0,675;0,580;0,680;0,620;0,627;0,627
SVC;Teste;F1-Score;0,779;0,556;0,657;0,435;0,378;0,809;0,722;0,627;0,667;0,596;0,623;0,623
SVC;Teste;Suporte;200;200;200;200;200;200;200;200;200;200;2000;2000
SVC;Teste;Acurácia;-;-;-;-;-;-;-;-;-;-;0,627;-
NaiveBayes;Teste;Precisão;0,613;0,360;0,586;0,375;0,435;0,663;0,757;0,660;0,523;0,464;0,543;0,543
NaiveBayes;Teste;Recall;0,720;0,525;0,580;0,390;0,185;0,895;0,715;0,465;0,345;0,580;0,540;0,540
NaiveBayes;Teste;F1-Score;0,662;0,427;0,583;0,382;0,260;0,762;0,735;0,545;0,416;0,516;0,529;0,529
NaiveBayes;Teste;Suporte;200;200;200;200;200;200;200;200;200;200;2000;2000
NaiveBayes;Teste;Acurácia;-;-;-;-;-;-;-;-;-;-;0,540;-
