Modelo;Conjunto;Métrica;cantopop;dance;dancehall;edm;electro;forro;gospel;happy;hard-rock;hardstyle;Média;Média Ponderada
RandomForest;Treino;Precisão;1,000;0,846;0,980;0,751;0,847;0,998;0,998;0,957;1,000;0,966;0,934;0,934
RandomForest;Treino;Recall;1,000;0,824;0,958;0,804;0,829;0,998;0,998;0,966;1,000;0,956;0,933;0,933
RandomForest;Treino;F1-Score;1,000;0,835;0,968;0,777;0,838;0,998;0,998;0,961;1,000;0,961;0,933;0,933
RandomForest;Treino;Suporte;800;800;800;800;800;800;800;800;800;800;8000;8000
RandomForest;Treino;Acurácia;-;-;-;-;-;-;-;-;-;-;0,933;-
LogisticRegression;Treino;Precisão;0,604;0,371;0,577;0,332;0,239;0,600;0,564;0,532;0,523;0,472;0,481;0,481
LogisticRegression;Treino;Recall;0,642;0,460;0,616;0,269;0,099;0,703;0,564;0,541;0,594;0,510;0,500;0,500
LogisticRegression;Treino;F1-Score;0,623;0,410;0,596;0,297;0,140;0,647;0,564;0,537;0,556;0,490;0,486;0,486
LogisticRegression;Treino;Suporte;800;800;800;800;800;800;800;800;800;800;8000;8000
LogisticRegression;Treino;Acurácia;-;-;-;-;-;-;-;-;-;-;0,500;-
XGBClassifier;Treino;Precisão;0,999;0,876;0,972;0,720;0,865;0,997;0,996;0,962;1,000;0,960;0,935;0,935
XGBClassifier;Treino;Recall;1,000;0,789;0,965;0,846;0,806;0,996;0,998;0,960;0,999;0,963;0,932;0,932
XGBClassifier;Treino;F1-Score;0,999;0,830;0,969;0,778;0,834;0,997;0,997;0,961;0,999;0,961;0,933;0,933
XGBClassifier;Treino;Suporte;800;800;800;800;800;800;800;800;800;800;8000;8000
XGBClassifier;Treino;Acurácia;-;-;-;-;-;-;-;-;-;-;0,932;-
LGBMClassifier;Treino;Precisão;1,000;0,845;0,972;0,726;0,875;0,995;0,996;0,960;1,000;0,960;0,933;0,933
LGBMClassifier;Treino;Recall;0,998;0,820;0,964;0,826;0,787;0,999;0,996;0,960;0,999;0,960;0,931;0,931
LGBMClassifier;Treino;F1-Score;0,999;0,832;0,968;0,773;0,829;0,997;0,996;0,960;0,999;0,960;0,931;0,931
LGBMClassifier;Treino;Suporte;800;800;800;800;800;800;800;800;800;800;8000;8000
LGBMClassifier;Treino;Acurácia;-;-;-;-;-;-;-;-;-;-;0,931;-
GradientBoosting;Treino;Precisão;0,877;0,642;0,811;0,584;0,704;0,857;0,855;0,875;0,873;0,855;0,793;0,793
GradientBoosting;Treino;Recall;0,845;0,703;0,825;0,657;0,540;0,939;0,880;0,859;0,818;0,845;0,791;0,791
